date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:25	4582/4582	---M--	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2007:36:24%20GMT	https://www.gitedupavillon.fr/en/Home/News	www.gitedupavillon.fr/en/Home/News.html	(from https://www.gitedupavillon.fr/Home/News)
09:36:26	130/130	---M--	302	error ('Found')	text/html	date:Fri,%2001%20May%202020%2007:36:25%20GMT	https://www.gitedupavillon.fr/en/Home/RedirectLanguage?act=News	www.gitedupavillon.fr/en/Home/RedirectLanguage.1fc7c9.delayed	(from https://www.gitedupavillon.fr/Home/News)
09:36:26	126/126	---M--	302	error ('Found')	text/html	date:Fri,%2001%20May%202020%2007:36:25%20GMT	https://www.gitedupavillon.fr/Home/RedirectLanguage?act=Index&lang=fr	www.gitedupavillon.fr/Home/RedirectLanguage.2057bb.delayed	(from https://www.gitedupavillon.fr/en)
09:36:29	4739/4739	---M--	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2007:36:27%20GMT	https://www.gitedupavillon.fr/?lang=fr	www.gitedupavillon.fr/indexe68f.html	(from https://www.gitedupavillon.fr/en)
09:36:29	155/155	---M--	302	error ('Found')	text/html	date:Fri,%2001%20May%202020%2007:36:29%20GMT	https://www.gitedupavillon.fr/bundles/GET	www.gitedupavillon.fr/bundles/GET.22.delayed	(from https://www.gitedupavillon.fr/bundles/ownjs?v=DZ_YxclzNvhehJKOiEMIActfjHTkYxNAA6nL2KBe5bY1)
09:36:30	3546/3546	---M--	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2007:36:30%20GMT	https://www.gitedupavillon.fr/Home/Error?aspxerrorpath=/bundles/GET	www.gitedupavillon.fr/Home/Error552d.html	(from https://www.gitedupavillon.fr/bundles/ownjs?v=DZ_YxclzNvhehJKOiEMIActfjHTkYxNAA6nL2KBe5bY1)
09:36:33	139/139	---M--	302	error ('Found')	text/html	date:Fri,%2001%20May%202020%2007:36:32%20GMT	https://www.gitedupavillon.fr/Home/RedirectLanguage?act=Pictures&lang=fr	www.gitedupavillon.fr/Home/RedirectLanguage.2487fb.delayed	(from https://www.gitedupavillon.fr/en/Home/Pictures)
09:36:38	12016/12016	---M--	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2007:36:36%20GMT	https://www.gitedupavillon.fr/Home/Pictures?lang=fr	www.gitedupavillon.fr/Home/Picturese68f.html	(from https://www.gitedupavillon.fr/en/Home/Pictures)
09:36:42	135/135	---M--	302	error ('Found')	text/html	date:Fri,%2001%20May%202020%2007:36:42%20GMT	https://www.gitedupavillon.fr/Home/RedirectLanguage?act=Book&lang=fr	www.gitedupavillon.fr/Home/RedirectLanguage.26482c.delayed	(from https://www.gitedupavillon.fr/en/Home/Book)
09:36:44	641393/641393	---M--	200	added ('OK')	image/jpeg	etag:%22e375ca842a95d21:0%22	https://www.gitedupavillon.fr/Images/panorama.jpg	www.gitedupavillon.fr/Images/panorama.jpg	(from https://www.gitedupavillon.fr/bundles/owncss?v=olzam0iKdORQM5tvkYoab9xNmGNWbJ82Tbp4-qTuPrk1)
